article,ean,name,category,dealer_price_eur,status
50.07.16.01,8715839033571,(Bodemplank bkar XL),,,
50.07.16.03,8715839033595,(Kopschot bkar XL),,,
50.07.16.02,8715839033588,(Zijschot bkar XL),,,
37.09.07.00,8715839029529,- Elite Beschermrand groen 270,,,
37.11.07.00,8715839029512,- Elite Beschermrand groen 330,,,
37.12.07.00,8715839029505,- Elite Beschermrand groen 380,,,
37.14.07.00,8715839029499,- Elite Beschermrand groen 430,,,
37.09.00.00,8715839029482,- Elite Beschermrand rood 270,,,
37.11.00.00,8715839029475,- Elite Beschermrand rood 330,,,
37.12.00.00,8715839029468,- Elite Beschermrand rood 380,,,
37.14.00.00,8715839030297,- Elite Beschermrand rood 430,,,
37.09.60.00,8715839029604,- Elite Ing. Onderframe 270,,,
37.11.60.00,8715839029598,- Elite Ing. Onderframe 330,,,
37.11.61.00,8715839042757,- Elite Ing. Onderframe 330,,,
37.12.60.00,8715839029581,- Elite Ing. Onderframe 380,,,
37.12.61.00,8715839042795,- Elite Ing. Onderframe 380,,,
37.14.60.00,8715839029574,- Elite Ing. Onderframe 430,,,
37.14.61.00,8715839042702,- Elite Ing. Onderframe 430,,,
37.09.50.00,8715839029642,- Elite Reg. Onderframe 270,,,
37.11.50.00,8715839029635,- Elite Reg. Onderframe 330,,,
37.11.51.00,8715839042740,- Elite Reg. Onderframe 330,,,
37.12.50.00,8715839029628,- Elite Reg. Onderframe 380,,,
37.12.51.00,8715839042788,- Elite Reg. Onderframe 380,,,
37.14.50.00,8715839029611,- Elite Reg. Onderframe 430,,,
37.14.51.00,8715839042696,- Elite Reg. Onderframe 430,,,
37.09.30.00,8715839029680,- Elite Springdoek & veren 270,,,
37.11.30.00,8715839029673,- Elite Springdoek & veren 330,,,
37.11.31.00,8715839042764,- Elite Springdoek & veren 330,,,
37.12.30.00,8715839029666,- Elite Springdoek & veren 380,,,
37.12.31.00,8715839042801,- Elite Springdoek & veren 380,,,
37.14.30.00,8715839029659,- Elite Springdoek & veren 430,,,
37.14.31.00,8715839042726,- Elite Springdoek & veren 430,,,
37.11.21.00,8715839042733,- Elite TS Toprail 330,,,
37.12.21.00,8715839042771,- Elite TS Toprail 380,,,
37.14.21.00,8715839042689,- Elite TS Toprail 430,,,
37.14.40.00,8715839029697,- Elite Tat.doek & Veren 430,,,
37.14.41.00,8715839042719,- Elite Tat.doek & Veren 430,,,
37.09.20.00,8715839029567,- Elite Toprail 270,,,
37.11.20.00,8715839029550,- Elite Toprail 330,,,
37.12.20.00,8715839029543,- Elite Toprail 380,,,
37.14.20.00,8715839029536,- Elite Toprail 430,,,
49.64.60.00,8715839021592,2008 Corporate productflyer,,,
49.64.81.00,8715839010886,2008 Folder DE,,,
49.64.80.00,8715839021349,2008 Folder MOOV NL,,,
49.64.83.00,8715839021806,2008 MOOV Display DVD,,,
49.64.90.00,8715839021332,2008 Mini-Brochure Ferrari FXX,,,
49.64.06.00,8715839021264,2008 Skelterfolder BE (WA),,,
49.64.08.00,8715839021288,2008 Skelterfolder Export N,,,
49.64.35.00,8715839021103,2008 Trampolinefolder BE (WA),,,
49.65.41.00,8715839021974,2009 Leisure brochure DE,,,
49.65.57.00,8715839022032,2009 Leisure brochure RUS,,,
49.65.42.00,8715839021981,2009 Leisure brochure UK,,,
49.65.40.10,8715839022513,2009 Leisure productspec 10.08,,,
49.65.81.00,8715839022919,2009 Mini folder MOOV DU,,,
49.65.84.00,8715839022926,2009 Mini folder MOOV FR,,,
