dir,ean,product_id,reference,name,images,note
8715839025118,8715839025118,10,24.75.02.00,Rowerek biegowy BERG Biky biały,4,
8715839068344,8715839068344,13,24.30.21.00,Gokart na pedały BERG Buzzy AERO,1,
8715839027990,8715839027990,16,24.20.61.02,Gokart na pedały dla dziewczynki BERG Buddy biały,7,
8715839026948,8715839026948,17,24.21.24.01,Gokart na pedały BERG Buddy John Deere,2,
8715839056587,8715839056587,20,24.21.64.00,Gokart na pedały BERG BMW Street Racer,8,
8715839042085,8715839042085,25,24.20.00.01,BERG Przyczepka Junior do gokartów Buddy i Rally bez haka,2,
8715839042092,8715839042092,26,16.24.30.00,"Hak do przyczepki Junior, Buddy, BMW BERG",2,
8715839042122,8715839042122,28,16.24.70.00,Zestaw oświetleniowy do Buddy BERG,3,
8715839042146,8715839042146,29,16.24.20.00,Obudowa koguta do gokartów firmy BERG niebieska,2,
8715839042139,8715839042139,30,16.99.42.00,Flaga Buddy BERG z uchwytem,3,
8715839053692,8715839053692,38,28.24.00.00,Gokart na pedały BERG Buddy Pro,2,
8715839070101,8715839070101,45,07.10.08.01,Gokart na pedały BERG X-Cross BFR,2,
8715839022094,8715839022094,61,18.07.91.00,BERG Plandeka na wózek plażowy L,2,
8715839071184,8715839071184,90,35.14.94.01,Trampolina BERG Favorit 430 z siatką Comfort,12,
8718469462117,8718469462117,95,41.01.10.00,Bramka do piłki nożnej dla dzieci Panna EXIT,8,
8718469460755,8718469460755,100,45.01.10.00,Striker do gry w piłkę nożną EXIT,14,
8718469462384,8718469462384,104,40.00.02.00,Bramka do piłki nożnej Flexx składana EXIT 2 szt,4,
8718469469871,8718469469871,105,45.80.05.01,Piłka do gry w piłkę nożna EXIT (ø23 cm),2,
8718469463831,8718469463831,108,41.09.10.00,Bramka do piłki nożnej Forza EXIT,2,
8718469462360,8718469462360,117,40.00.01.00,Bramka do piłki nożnej Flexx składana EXIT,5,
5413858231147,5413858231147,125,23114,Latawiec Quito 130,1,
latawiec-delta-tropical-didakites,,126,13810,Latawiec delta tropical Didakites,1,"no EAN, name used"
5413858231826,5413858231826,128,23182,Latawiec Dwulinkowy outsider Didakites 8+,2,
5413858231161,5413858231161,129,23116,Latawiec dwulinkowy Funky Didakites,2,
5413858231567,5413858231567,130,23156,Latawiec dwulinkowy breezer Didakites 8+,1,
5413858231819,5413858231819,131,23181,Latawiec dwulinkowy akrobacyjny eagle Didakites 8+,2,
